Root,ChordType,Index,String1,String2,String3,String4,String5,String6,NumStrings
A,Major,406,X,0.0,2.0,2.0,2.0,0.0,5
A#,Major,253,X,1.0,3.0,3.0,3.0,1.0,5
B,Major,319,X,2.0,4.0,4.0,4.0,2.0,5
C,Major,416,X,3.0,5.0,5.0,5.0,3.0,5
C#,Major,340,X,4.0,6.0,6.0,6.0,4.0,5
D,Major,261,X,5.0,7.0,7.0,7.0,5.0,5
D#,Major,262,X,6.0,8.0,8.0,8.0,6.0,5
E,Major,615,X,7.0,9.0,9.0,9.0,7.0,5
E,Major,734,0.0,2.0,2.0,1.0,0.0,0.0,6
F,Major,460,1.0,3.0,3.0,2.0,1.0,1.0,6
F#,Major,460,2.0,4.0,4.0,3.0,2.0,2.0,6
G,Major,426,3.0,5.0,5.0,4.0,3.0,3.0,6
G#,Major,341,4.0,6.0,6.0,5.0,4.0,4.0,6
A,Major,584,5.0,7.0,7.0,6.0,5.0,5.0,6
A#,Major,343,6.0,8.0,8.0,7.0,6.0,6.0,6
B,Major,432,7.0,9.0,9.0,8.0,7.0,7.0,6
C,Major,385,X,3.0,2.0,0.0,1.0,0.0,5
D,Major,91,X,X,0.0,2.0,3.0,2.0,4
G,Major,423,3.0,2.0,0.0,0.0,3.0,3.0,6
A,Minor,406,X,0.0,2.0,2.0,1.0,0.0,5
A#,Minor,332,X,1.0,3.0,3.0,2.0,1.0,5
B,Minor,319,X,2.0,4.0,4.0,3.0,2.0,5
C,Minor,253,X,3.0,5.0,5.0,4.0,3.0,5
C#,Minor,416,X,4.0,6.0,6.0,5.0,4.0,5
D,Minor,261,X,5.0,7.0,7.0,6.0,5.0,5
D#,Minor,261,X,6.0,8.0,8.0,7.0,6.0,5
E,Minor,615,X,7.0,9.0,9.0,8.0,7.0,5
E,Minor,734,0.0,2.0,2.0,0.0,0.0,0.0,6
F,Minor,458,1.0,3.0,3.0,1.0,1.0,1.0,6
F#,Minor,460,2.0,4.0,4.0,2.0,2.0,2.0,6
G,Minor,340,3.0,5.0,5.0,3.0,3.0,3.0,6
G#,Minor,426,4.0,6.0,6.0,4.0,4.0,4.0,6
A,Minor,584,5.0,7.0,7.0,5.0,5.0,5.0,6
A#,Minor,462,6.0,8.0,8.0,6.0,6.0,6.0,6
B,Minor,432,7.0,9.0,9.0,7.0,7.0,7.0,6
D,Minor,91,X,X,0.0,2.0,3.0,1.0,4
A,Major7,429,X,0.0,2.0,1.0,2.0,0.0,5
A#,Major7,280,X,1.0,3.0,2.0,3.0,1.0,5
B,Major7,334,X,2.0,4.0,3.0,4.0,2.0,5
C,Major7,549,X,3.0,5.0,4.0,5.0,3.0,5
C#,Major7,369,X,4.0,6.0,5.0,6.0,4.0,5
D,Major7,337,X,5.0,7.0,6.0,7.0,5.0,5
D#,Major7,243,X,6.0,8.0,7.0,8.0,6.0,5
E,Major7,549,X,7.0,9.0,8.0,9.0,7.0,5
E,Major7,670,X,2.0,1.0,1.0,0.0,0.0,5
F,Major7,835,1.0,3.0,2.0,2.0,1.0,1.0,6
F#,Major7,650,2.0,4.0,3.0,3.0,2.0,2.0,6
G,Major7,677,3.0,5.0,4.0,4.0,3.0,3.0,6
G#,Major7,533,4.0,6.0,5.0,5.0,4.0,4.0,6
A,Major7,902,5.0,7.0,6.0,6.0,5.0,5.0,6
A#,Major7,547,6.0,8.0,7.0,7.0,6.0,6.0,6
B,Major7,706,7.0,9.0,8.0,8.0,7.0,7.0,6
C,Major7,434,X,3.0,2.0,0.0,0.0,0.0,5
C#,Major7,293,X,4.0,3.0,1.0,1.0,1.0,5
D,Major7,269,X,5.0,4.0,2.0,2.0,2.0,5
D#,Major7,200,X,6.0,5.0,3.0,3.0,3.0,5
E,Major7,494,X,7.0,6.0,4.0,4.0,4.0,5
F,Major7,517,X,8.0,7.0,5.0,5.0,5.0,5
F#,Major7,409,X,9.0,8.0,6.0,6.0,6.0,5
G,Major7,633,3.0,2.0,0.0,0.0,0.0,2.0,6
G,Major7,640,3.0,2.0,0.0,0.0,3.0,2.0,6
D,Major7,62,X,X,0.0,2.0,2.0,2.0,4
D#,Major7,50,X,X,1.0,3.0,3.0,3.0,4
E,Major7,99,X,X,2.0,4.0,4.0,4.0,4
F,Major7,124,X,X,3.0,5.0,5.0,5.0,4
F#,Major7,102,X,X,4.0,6.0,6.0,6.0,4
G,Major7,104,X,X,5.0,7.0,7.0,7.0,4
G#,Major7,86,X,X,6.0,8.0,8.0,8.0,4
A,Major7,173,X,X,7.0,9.0,9.0,9.0,4